ID;GROUPID;ARTIFACTID;CATEGORY;TAGS
org.apache.accumulo:accumulo-wikisearch;org.apache.accumulo;accumulo-wikisearch;Database;accumulo
org.apache.fluo:fluo-accumulo;org.apache.fluo;fluo-accumulo;Database;accumulo
org.apache.fluo:fluo-recipes-accumulo;org.apache.fluo;fluo-recipes-accumulo;Database;accumulo
org.apache.rya:accumulo.pig;org.apache.rya;accumulo.pig;Database;accumulo
org.apache.rya:accumulo.rya;org.apache.rya;accumulo.rya;Database;accumulo
org.gradoop:gradoop-accumulo;org.gradoop;gradoop-accumulo;Database;accumulo
org.locationtech.geomesa:geomesa-accumulo;org.locationtech.geomesa;geomesa-accumulo;Database;accumulo
org.locationtech.geotrellis:geotrellis-accumulo;org.locationtech.geotrellis;geotrellis-accumulo;Database;accumulo
org.neolumin.simpleorm:simple-orm-accumulo;org.neolumin.simpleorm;simple-orm-accumulo;Database;accumulo
org.neolumin.vertexium:vertexium-accumulo;org.neolumin.vertexium;vertexium-accumulo;Database;accumulo
org.securegraph:securegraph-accumulo;org.securegraph;securegraph-accumulo;Database;accumulo
org.securegraph:securegraph-accumulo-blueprints;org.securegraph;securegraph-accumulo-blueprints;Database;accumulo
org.securegraph:securegraph-accumulo-iterators;org.securegraph;securegraph-accumulo-iterators;Database;accumulo
org.securegraph:securegraph-accumulo-migrations;org.securegraph;securegraph-accumulo-migrations;Database;accumulo
org.vertexium:vertexium-accumulo;org.vertexium;vertexium-accumulo;Database;accumulo
org.vertexium:vertexium-accumulo-blueprints;org.vertexium;vertexium-accumulo-blueprints;Database;accumulo
uk.gov.gchq.gaffer:accumulo-store;uk.gov.gchq.gaffer;accumulo-store;Database;accumulo
uk.gov.gchq.gaffer:mini-accumulo-cluster;uk.gov.gchq.gaffer;mini-accumulo-cluster;Database;accumulo
uk.gov.gchq.gaffer:spark-accumulo-library;uk.gov.gchq.gaffer;spark-accumulo-library;Database;accumulo
org.apache.accumulo:accumulo-tserver;org.apache.accumulo;accumulo-tserver;Database;accumulo
org.apache.nifi:nifi-accumulo-nar;org.apache.nifi;nifi-accumulo-nar;Database;accumulo
org.apache.accumulo:accumulo;org.apache.accumulo;accumulo;Database;accumulo
org.apache.accumulo:accumulo-master;org.apache.accumulo;accumulo-master;Database;accumulo
org.apache.accumulo:accumulo-minicluster;org.apache.accumulo;accumulo-minicluster;Database;accumulo
org.apache.accumulo:accumulo-project;org.apache.accumulo;accumulo-project;Database;accumulo
org.apache.accumulo:accumulo-start;org.apache.accumulo;accumulo-start;Database;accumulo
org.apache.accumulo:wikisearch-query-war;org.apache.accumulo;wikisearch-query-war;Web Applications;accumulo|application|query|web|webapp
org.apache.accumulo:accumulo-maven-plugin;org.apache.accumulo;accumulo-maven-plugin;Build Automation Tool Plugins;accumulo|build|build-system|maven|plugin
org.apache.accumulo:accumulo2-maven-plugin;org.apache.accumulo;accumulo2-maven-plugin;Build Automation Tool Plugins;accumulo|build|build-system|maven|plugin
org.apache.nifi:nifi-accumulo-bundle;org.apache.nifi;nifi-accumulo-bundle;Database;accumulo|bundle
org.teiid.connectors:accumulo;org.teiid.connectors;accumulo;Database;accumulo|connector
org.teiid.connectors:connector-accumulo;org.teiid.connectors;connector-accumulo;Database;accumulo|connector
org.teiid.connectors:feature-pack-accumulo;org.teiid.connectors;feature-pack-accumulo;Database;accumulo|connector
org.teiid.connectors:translator-accumulo;org.teiid.connectors;translator-accumulo;Database;accumulo|connector
org.jboss.teiid.connectors:accumulo;org.jboss.teiid.connectors;accumulo;Database;accumulo|connector|jboss
org.jboss.teiid.connectors:connector-accumulo;org.jboss.teiid.connectors;connector-accumulo;Database;accumulo|connector|jboss
org.jboss.teiid.connectors:feature-pack-accumulo;org.jboss.teiid.connectors;feature-pack-accumulo;Database;accumulo|connector|jboss
org.jboss.teiid.connectors:translator-accumulo;org.jboss.teiid.connectors;translator-accumulo;Database;accumulo|connector|jboss
org.locationtech.geomesa:geomesa-web-csv-accumulo1.5;org.locationtech.geomesa;geomesa-web-csv-accumulo1.5;Database;accumulo|csv
com.microsoft.masc:accumulo-spark-datasource;com.microsoft.masc;accumulo-spark-datasource;Database;accumulo|data|datasource|spark
com.microsoft.masc:microsoft-accumulo-spark-datasource;com.microsoft.masc;microsoft-accumulo-spark-datasource;Database;accumulo|data|datasource|spark
org.apache.accumulo:accumulo-core;org.apache.accumulo;accumulo-core;Database;accumulo|database|hadoop|nosql
org.apache.accumulo:accumulo-examples;org.apache.accumulo;accumulo-examples;Example;accumulo|example
org.apache.rya:rya.export.accumulo;org.apache.rya;rya.export.accumulo;Database;accumulo|export
org.apache.gora:gora-accumulo;org.apache.gora;gora-accumulo;Database;accumulo|hadoop
org.apache.hive:hive-accumulo-handler;org.apache.hive;hive-accumulo-handler;Database;accumulo|io
org.spark-project.hive:hive-accumulo-handler;org.spark-project.hive;hive-accumulo-handler;Database;accumulo|io
org.apache.rya:rya.kafka.connect.accumulo;org.apache.rya;rya.kafka.connect.accumulo;Database;accumulo|kafka|streaming
